outlet_id,Outlet,City,Phone_no,Link,Address,Address_link,num_employee
1,ASHANAGAR, NAVSARI,8238362436,https://www.facebook.com/AjaysAshanagar,"Shop No.1, Super Apartment, Near Ashoka Tower, Sandh Kuwa Gate, Navsari, Gujarat 396445",https://g.page/AjaysAN?share,10
2,LUNSIKUI, NAVSARI,9762002345,https://www.facebook.com/AjaysLunsikui,"Shop No 5., A.B. Vajpai Shopping Complex, Lunsikui, Navsari 396445",https://g.page/AjaysLK?share,9
3,LP SAVANI, SURAT,9512362436,https://www.facebook.com/ajayslpsavani,"Shop No. 8, Mahalaxmi Square, L.P Savani Circle, Adajan, Surat 395009.",https://g.page/AjaysAdajan?share,10
4,VED ROAD, SURAT,7283803803,https://www.facebook.com/AjaysVedRoad,"Shop No. 3, Ground Floor, Pranami Nagar Soc., Opp Reliance Petrol Pump, Ved Rd, Surat 395004",https://g.page/AjaysVedRoad?share,11
5,CITY LIGHT, SURAT,7096212212,https://www.facebook.com/ajayscl,"Shop No. 201, City Light Shopping Centre, City Light Rd, Athwa, Surat, Gujarat 395007",https://g.page/AjaysCityLight?share,10
6,UDHNA, SURAT,6356017017,https://www.facebook.com/ajaysudhana,"Udhna Teen Rasta, Opp Dena Bank, Udhana Main Rd, Udhna, Surat, Gujarat 394210",https://g.page/AjaysUdhna?share,10
7,VESU, SURAT,7621040040,https://www.facebook.com/ajaysvesu,"G-31, VIP Plaza, Near Shyam Baba Mandir, VIP Road, Vesu, Surat, Gujarat 395007",https://g.page/AjaysVesu?share,8
8,CHIKHLI,Chikhli,6356210210,https://www.facebook.com/ajayschikhli,"Chikhli-Vansda Road, Opp Bagladev Temple Thala, Chikhli, Gujarat 396521",https://g.page/AjaysCH?share,8
9,TITHAL ROAD, VALSAD,7621030030,https://www.facebook.com/ajaysvalsad,"Shop No. 3, Siddharth Apts, Tithal Rd, Valsad, Gujarat 396001",https://g.page/AjaysValsad?share,9
10,PANDESARA, SURAT,9510783544,https://www.facebook.com/ajayspandesara,"3/363, Beside Associate Bank, Piyush Point, G.H.B, Pandesara, Surat - 394220",https://g.page/AjaysPandesara?share,10
11,COLLEGE ROAD, VALSAD,7096015015,https://www.facebook.com/ajaysvalsadCR,"Shop No.1. Shreeji Darshan Apartment, Beside M Square Mall, College Rd, Valsad, Gujarat-396001",https://g.page/AjaysValsadCR?share,11
12,GUNJAN, VAPI,9586322311,https://www.facebook.com/AjaysVapiGunjan,"Shop No. 3,  Meera Complex, Opp Thane Janta Sahakari Bank, Gunjan Koparli Road, Vapi, Gujarat 396191",https://g.page/AjaysVapiGunjan?share,12
13,KILLA PARDI, VALSAD,6354709970,https://www.facebook.com/AjaysKillaPardi,"Station Road, Opp. Jyoti Hospital, Kumbharwad, Killa-pardi, Valsad, Gujarat 396125",https://g.page/AjaysKillaPardi?share,11
14,ERU, NAVSARI,7621080080,https://www.facebook.com/AjaysEruCharRasta,"Shop No. 7, A1 Shopping Centre, Opp. GEB, Eru-Char Rasta Rd, Navsari, Gujarat 396445",https://goo.gl/maps/yNQVX2khuRDApmPE7,8
15,VANSDA, NAVSARI,7299551155,https://www.facebook.com/AjaysVansda,"Hanumanbari Circle, Vansda-Saputara Road, Vansda, Gujarat 396580",https://g.page/AjaysVansda?share,12
16,GIDC, ANKLESHWAR,8866509501,https://www.facebook.com/AjaysAklGidc,"G10, Ganesh Plaza, Near, Sardar Patel Cir, GIDC, Ankleshwar, Gujarat 393002",https://g.page/AjaysAklGIDC?share,11
17,SHITAL CIRCLE, BHARUCH,9173188777,https://www.facebook.com/AjaysBharuchShitalCircle,"Shop no. 5, Ganga Complex, Shital Circle, Bholav, Bharuch - 393010",https://g.page/AjaysBharuchSC?share,11
18,KHERGAM, NAVSARI,6356518081,https://www.facebook.com/AjaysKhergam,"A1, Dev Darshan Complex, Opp APMC, Khergam, Dist-Navsari, Gujarat - 396040",https://g.page/AjaysKhergam?share,9
19,DHARAMPUR, VALSAD,9574636075,https://www.facebook.com/AjaysDharampur,"Shop No.2, NM Complex, Valsad Road, Dharampur Chokdi, Dharampur, Valsad, Gujarat - 396050",https://g.page/AjaysDharampur?share,11
20,VYARA, TAPI,9512881622,https://www.facebook.com/AjaysVyara,"Shop No. 8, High School Shopping Centre, Tower Road, Vyara, Gujarat 394650",https://g.page/AjaysVyara?share,10
21,NANI DAMAN, DAMAN,7567755577,https://www.facebook.com/AjaysDaman,"G2, City Centre, Khariwad Main Rd, Opp. Bus Stand, UT of Diu and Daman 396210",https://goo.gl/maps/ZNKNB7X8JDeezVpt6,12
22,PIRAMAN NAKA, ANKLESHWAR,9858208208,https://www.facebook.com/AjaysAklPiramanNaka,"Shop No. 24, Lakdawala Shopping Centre, Opp Taluka Panchayat, Piraman Naka, Ankleshwar, Gujarat 393001",https://g.page/AjaysAklPiramanNaka?share,8
