Id,productid,outletid
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,1,2
14,2,2
15,3,2
16,4,2
17,5,2
18,6,2
19,7,2
20,8,2
21,9,2
22,10,2
23,11,2
24,1,3
25,2,3
26,3,3
27,4,3
28,5,3
29,6,3
30,7,3
31,8,3
32,9,3
33,10,3
34,11,3
35,12,3
36,13,3
37,14,3
38,15,3
39,16,3
40,1,4
41,2,4
42,3,4
43,4,4
44,5,4
45,6,4
46,7,4
47,8,4
48,9,4
49,10,4
50,11,4
51,12,4
52,13,4
53,14,4
54,15,4
55,1,5
56,2,5
57,3,5
58,4,5
59,5,5
60,6,5
61,7,5
62,8,5
63,9,5
64,10,5
65,11,5
66,12,5
67,13,5
68,1,6
69,2,6
70,3,6
71,4,6
72,5,6
73,6,6
74,7,6
75,8,6
76,9,6
77,10,6
78,1,7
79,2,7
80,3,7
81,4,7
82,5,7
83,6,7
84,7,7
85,8,7
86,9,7
87,10,7
88,11,7
89,1,8
90,2,8
91,3,8
92,4,8
93,5,8
94,6,8
95,7,8
96,8,8
97,9,8
98,10,8
99,11,8
100,12,8
101,13,8
102,14,8
103,15,8
104,1,9
105,2,9
106,3,9
107,4,9
108,5,9
109,6,9
110,7,9
111,8,9
112,9,9
113,10,9
114,11,9
115,12,9
116,13,9
117,14,9
118,15,9
119,1,10
120,2,10
121,3,10
122,4,10
123,5,10
124,6,10
125,7,10
126,8,10
127,9,10
128,10,10
129,11,10
130,12,10
131,13,10
132,14,10
133,1,11
134,2,11
135,3,11
136,4,11
137,5,11
138,6,11
139,7,11
140,8,11
141,9,11
142,10,11
143,11,11
144,12,11
145,13,11
146,14,11
147,1,12
148,2,12
149,3,12
150,4,12
151,5,12
152,6,12
153,7,12
154,8,12
155,9,12
156,10,12
157,11,12
158,12,12
159,13,12
160,14,12
161,15,12
162,1,13
163,2,13
164,3,13
165,4,13
166,5,13
167,6,13
168,7,13
169,8,13
170,9,13
171,10,13
172,11,13
173,12,13
174,13,13
175,1,14
176,2,14
177,3,14
178,4,14
179,5,14
180,6,14
181,7,14
182,8,14
183,9,14
184,10,14
185,11,14
186,12,14
187,13,14
188,1,15
189,2,15
190,3,15
191,4,15
192,5,15
193,6,15
194,7,15
195,8,15
196,9,15
197,10,15
198,11,15
199,12,15
200,13,15
201,1,16
202,2,16
203,3,16
204,4,16
205,5,16
206,6,16
207,7,16
208,8,16
209,9,16
210,10,16
211,11,16
212,1,17
213,2,17
214,3,17
215,4,17
216,5,17
217,6,17
218,7,17
219,8,17
220,9,17
221,10,17
222,11,17
223,1,18
224,2,18
225,3,18
226,4,18
227,5,18
228,6,18
229,7,18
230,8,18
231,9,18
232,10,18
233,11,18
234,12,18
235,1,19
236,2,19
237,3,19
238,4,19
239,5,19
240,6,19
241,7,19
242,8,19
243,9,19
244,10,19
245,11,19
246,12,19
247,13,19
248,14,19
249,1,20
250,2,20
251,3,20
252,4,20
253,5,20
254,6,20
255,7,20
256,8,20
257,9,20
258,10,20
259,11,20
260,1,21
261,2,21
262,3,21
263,4,21
264,5,21
265,6,21
266,7,21
267,8,21
268,9,21
269,10,21
270,11,21
271,12,21
272,13,21
273,14,21
274,15,21
275,1,22
276,2,22
277,3,22
278,4,22
279,5,22
280,6,22
281,7,22
282,8,22
283,9,22
284,10,22
285,11,22
286,12,22
287,1,23
288,2,23
289,3,23
290,4,23
291,5,23
292,6,23
293,7,23
294,8,23
295,9,23
296,10,23
297,11,23
298,12,23
299,1,24
300,2,24
301,3,24
302,4,24
303,5,24
304,6,24
305,7,24
306,8,24
307,9,24
308,10,24
309,11,24
310,12,24
311,13,24
312,1,25
313,2,25
314,3,25
315,4,25
316,5,25
317,6,25
318,7,25
319,8,25
320,9,25
321,10,25
322,11,25
323,12,25
324,13,25
325,14,25
326,1,26
327,2,26
328,3,26
329,4,26
330,5,26
331,6,26
332,7,26
333,8,26
334,9,26
335,10,26
336,11,26
337,12,26
338,13,26
339,1,27
340,2,27
341,3,27
342,4,27
343,5,27
344,6,27
345,7,27
346,8,27
347,9,27
348,10,27
349,11,27
350,12,27
351,13,27
352,14,27
353,15,27
354,16,27
355,1,28
356,2,28
357,3,28
358,4,28
359,5,28
360,6,28
361,7,28
362,8,28
363,9,28
364,10,28
365,11,28
366,12,28
367,13,28
368,14,28
369,15,28
370,1,29
371,2,29
372,3,29
373,4,29
374,5,29
375,6,29
376,7,29
377,8,29
378,9,29
379,10,29
380,11,29
381,12,29
382,13,29
383,14,29
384,15,29
385,1,30
386,2,30
387,3,30
388,4,30
389,5,30
390,6,30
391,7,30
392,8,30
393,9,30
394,10,30
395,11,30
396,12,30
397,1,31
398,2,31
399,3,31
400,4,31
401,5,31
402,6,31
403,7,31
